# step, loss_train, loss_test, metrics_test
0.000000000000000000e+00 2.151886187493801117e-02 1.272178627550601959e-02 4.439465999603271484e-01 2.151886187493801117e-02 1.272178627550601959e-02 4.439465999603271484e-01
1.000000000000000000e+03 3.721781820058822632e-02 5.565249011851847172e-04 5.340157076716423035e-02 3.721781820058822632e-02 5.565249011851847172e-04 5.340157076716423035e-02
2.000000000000000000e+03 2.333900146186351776e-02 2.209123776992782950e-04 3.029172867536544800e-02 2.333900146186351776e-02 2.209123776992782950e-04 3.029172867536544800e-02
3.000000000000000000e+03 7.534876931458711624e-03 6.056247366359457374e-05 5.970306228846311569e-03 7.534876931458711624e-03 6.056247366359457374e-05 5.970306228846311569e-03
4.000000000000000000e+03 4.750627093017101288e-03 3.491696406854316592e-05 3.730908036231994629e-03 4.750627093017101288e-03 3.491696406854316592e-05 3.730908036231994629e-03
5.000000000000000000e+03 3.129622898995876312e-03 2.409537410130724311e-05 2.884338842704892159e-03 3.129622898995876312e-03 2.409537410130724311e-05 2.884338842704892159e-03
6.000000000000000000e+03 2.313940320163965225e-03 1.783021070878021419e-05 2.329964423552155495e-03 2.313940320163965225e-03 1.783021070878021419e-05 2.329964423552155495e-03
7.000000000000000000e+03 1.855131122283637524e-03 1.190433067677076906e-05 1.997601706534624100e-03 1.855131122283637524e-03 1.190433067677076906e-05 1.997601706534624100e-03
8.000000000000000000e+03 1.546162297017872334e-03 9.761435649124905467e-06 1.766167115420103073e-03 1.546162297017872334e-03 9.761435649124905467e-06 1.766167115420103073e-03
9.000000000000000000e+03 1.344242133200168610e-03 8.324548616656102240e-06 1.578088151291012764e-03 1.344242133200168610e-03 8.324548616656102240e-06 1.578088151291012764e-03
1.000000000000000000e+04 1.211605733260512352e-03 8.329982847499195486e-06 1.408700947649776936e-03 1.211605733260512352e-03 8.329982847499195486e-06 1.408700947649776936e-03
1.000000000000000000e+04 2.030167728662490845e-03 8.329982847499195486e-06 1.408700947649776936e-03 1.211605733260512352e-03 8.329982847499195486e-06 1.408700947649776936e-03
1.100000000000000000e+04 1.358391367830336094e-03 7.907250619609840214e-06 1.398702617734670639e-03 1.307472353801131248e-03 7.907250619609840214e-06 1.398702617734670639e-03
1.200000000000000000e+04 2.575524616986513138e-03 4.764164714288199320e-06 1.361411763355135918e-03 2.449386520311236382e-03 4.764164714288199320e-06 1.361411763355135918e-03
